material_id,type,backend_higg,frontend_higg,internal_abreviations,globalwarming,eutrophication,waterscarcity,abioticresourcedepletion,chemistry,overall_msi,co2e_kg,phosphate_po4eq,water_volume_m3,fossil_fuel_mj,chemistry_units,score_globwarm,score_eutrophication,score_water,score_resourcedepletion,fiber_type,fiber_source,is_natural,is_renewable,is_recyclable,is_biodegradable,is_microplastic_pollutant,pro_tips,pro_read_more,con_tips,con_read_more,washing_tips,washing_read_more,fact_tips,fact_read_more
tex_elas_10,Textiles,Elastane/Spandex/Lycra fabric,"Elastane, Spandex, Lycra",EL/EA,8.63,6.72,5.57,9.22,4.94,35.1,9.14,0.006,12.1,135.0,10.4,3.375985663082437,3.4334975369458127,1.6235349273323956,3.8350877192982455,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Spandex is known for it's elasticity. It's a synthetic fiber commonly used for leggings, athletic wear, undergarments, and any other material that requires a perfect fit and stretch. ",,"Spandex is petroleum-based and non-biodegradable. It has a short shelf-life, which means you may need to repurchase swimsuits, leggings, and other spandex garments more frequently","Spandex is petroleum-based, and is made up of long chain polymer plastics called polyurethane. It requires a lot of energy to produce and is not biodegradable. Spandex does not have a long shelf life, which means you may need to repurchase swimsuits, leggings, and other spandex garments more frequently.","Spandex swimwear and undergarments should be hand washed in cold water to preserve garment integrity. Athletic wear and jeans can be turned inside out and washed in a gentle cycle with cold water. Spandex degrades faster with high heat, so hang dry to maintain elasticity and garment shape. ",,"When washed and abraded, Spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. ","Spandex is usually blended with other materials, and since it can't be separated easily after blending, it's not widely recyclable. Spandex has a relatively short shelf-life, and will often lose its elasticity before the fibers its blended with lose their functionality. The best way to extend the life of spandex garments is to protect them from high heat; that mean's no tumble drying. 

Since spandex is a plastic derivative, it does contribute to microplastic water pollution when washed. When washed and abraded, spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. "
tex_flax_11,Textiles,Flax fiber fabric,"Flax, linen",LI,13.6,52.3,3.43,12.0,11.1,92.5,14.4,0.05,7.48,175.0,23.5,2.129032258064517,1.0,2.6268166901078294,2.8596491228070176,Plant Based,Flax Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Linen is a lightweight, breathable, absorbant material that's biodegradable and renewable. It's a resilient crop that can grow in poor soil, and consumes less water than other natural fibers like cotton.","Linen is a lightweight, breathable, absorbant material that's biodegradable and renewable. During the manufacturing process, the entire flax plant is used. It's a resilient crop that can grow in poor soil, and consumes less water than other natural fibers like cotton.",Linen is processed to fiber through water retting-- a process that can pollute local waterways if not managed sustainably.,,"Linen is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Linen wrinkles easily, so tumble dry on low or hang dry to erase wrinkles and save energy.",,"Linen is one of the world's oldest fabrics. Linen shrouds have been found dating as far back as 4500 B.C. Linen production is more labor-intensive than cotton production, so linen garments are usually more expensive. Purchasing second-hand linen is a great way to stay on budget while elongating garment life.",
tex_hemp_12,Textiles,Hemp fiber fabric,Hemp,HA/CA,14.0,59.8,4.23,12.2,9.77,100.0,14.8,0.057,9.23,178.0,20.6,2.0286738351254483,1.0,2.2517580872011247,2.7894736842105265,Plant Based,Hemp / Sativa Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Hemp is comprarable to linen in terms of texture and feel. It's a durable, absorbent, UV resistant material that's biodegradable and renewable.","Hemp is a biodegradable natural fiber made from the stalks of the Sativa plant. It 's comprarable to linen in terms of texture and feel, and is a durable, absorbent, UV resistant material that's biodegradable and renewable.","Hemp is prone to wrinkling, and can feel a little rough if not properly treated.","Hemp is prone to wrinkling, and can feel a little rough if not properly treated. Hemp clothing is natural, and because of that, it won't carry the color richness that some synthetic materials can.","Hemp is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Hemp is naturally antimicrobial, which means it doesn't need to be washed as frequently as other natural fibers. Spot cleaning between washings can vastly reduce water and energy consumption while extending the life of hemp garments. When in need of a good cleaning, it's best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Hemp plants are highly resistant to fungi and diseases, so farmers don't need to rely on chemicals and pesticides to protect crops from pests. Hemp grows very quickly, contributes to soil health, and can yield up to four times the volume of flax per-acre. ","Hemp plants are highly resistant to fungi and diseases, so farmers don't need to use chemicals and pesticides to protect crops from pests. Hemp grows very quickly, contributes to soil health, and can yield up to four times the volume of flax per-acre. Hemp used for fabric production does not produce the same levels of THC found in cannabis flowers, and is not used for recreational or medicinal purposes. "
tex_agra_13,Textiles,Agraloop BioFibre (cottonized) {Circular Systems},Agraloop BioFibre™,,14.4,38.9,9.78,13.6,9.77,86.45,15.3,0.037000000000000005,21.3,199.0,20.6,1.92831541218638,1.0,1.0,2.2982456140350878,Plant Based,"Hemp, Flax, Banana, Pineapple Plants",Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Agraloop BioFibre™ is durable, breathable, absorbent, and UV resistant. It's a natural fiber entirely derived from agricultural waste, which supports the circular economy. 
",,"Agraloop BioFibre™ is often blended with other materials like cotton or lyocell, which may limit recyclability. ",,"Agraloop BioFibre™ is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Agraloop BioFibre™ is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Agraloop uses a proprietary wet-processing technique to purify stems and leaves from oil-seed hemp and flax, CBD hemp, banana, and pineapple plants, among others. 

Agraloop BioFibre™ supports the circular economy by utilizing agricultural leftovers that would otherwise go to waste. This waste would typically be burned or left to rot, which exacerbates methane pollution, air pollution, and crop disease. ","Agraloop BioFibre™ is entirely generated from natural fibers derived from agricultural waste. Agraloop uses a proprietary wet-processing technique to purify stems and leaves from oil-seed hemp and flax, CBD hemp, banana, and pineapple plants, among others. 

Agraloop BioFibre™ supports the circular economy by utilizing agricultural leftovers that would otherwise go to waste. This waste would typically be burned or left to rot, which exacerbates methane pollution, air pollution, and crop disease. "
tex_jute_14,Textiles,Jute fiber fabric,Jute,,11.1,18.9,6.82,9.91,11.1,57.9,11.8,0.018000000000000002,14.9,145.0,23.5,2.756272401433692,1.0,1.0375058602906706,3.5929824561403514,Plant Based,Jute Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Jute is a durable, absorbant, UV resistant material that's biodegradable and renewable. It's most comparable to linen and hemp in terms of texture. ","Jute is a biodegradable natural fiber made from the outer stalks of the Jute plant. Jute is most closely comparable to linen and hemp in terms of texture and feel. It's very durable, absorbant, and UV resistant.",Jute is prone to wrinkling and can feel rough when compared to hemp and linen. ,"Jute is prone to wrinkling, and can feel rough when compared to hemp and linen. Due to its coarse texture, jute is usually reserved for burlap sacs, rope, home furnishings, and agricultural textiles. ","Jute is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ",,"Jute has been used for textiles since 3,000 B.C. Jute plants are highly resistant to fungi and diseases, so farmers don't need to rely on chemicals and pesticides to protect crops from pests. ","Jute has been used for textiles since 3,000 B.C. Jute plants are highly resistant to fungi and diseases, so farmers don't need to rely on chemicals and pesticides to protect crops from pests. Jute grows very quickly, contributes to soil health, and does not require irrigation. "
tex_lyoc_15,Textiles,Lyocell fabric,Lyocell,CLY,14.0,11.4,3.99,11.2,9.4,50.0,14.8,0.011000000000000001,8.7,164.0,19.8,2.0286738351254483,2.2807881773399017,2.3642756680731365,3.140350877192983,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Lyocell is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from renewable eucalyptus wood pulp.",,The creation of eucalyptus pulpwood plantations for new material often requires destructive deforestation.,,"Lyocell is best washed by hand in cold water, though some garments can be washed in a gentle cycle. Lay flat or hang dry to avoid excess shrinkage and pilling. ","Lyocell is stronger than its semi-synthetic cellulosic friends but is still subject to mildew. Handwashing is best, though some garments can be washed in a gentle cycle with cold water. Lay flat or hang dry to avoid excess shrinkage and pilling. ","Lyocell manufacturing is significantly less resource-intensive than traditional viscose or rayon production. Unlike viscose and rayon, lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide). 

","Lyocell manufacturing is significantly less resource-intensive than traditional viscose or rayon production. Unlike viscose and rayon, lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide). 

Lyocell relies on wood-pulp from eucalyptus trees, a fast-growing tree that grows in poor soil and does not require irrigation or pesticides. However, eucalyptus farms are usually monocultures that result in deforestation, habitat loss and a decrease to biodiversity. It's crucial to ensure our forests are responsibly managed, and that our lyocell products are sourced from responsible supply chains. "
tex_tenc_16,Textiles,Tencel™ Lyocell fabric {Lenzing} ,Tencel™ Lyocell,,9.68,8.35,2.41,9.26,9.4,39.1,10.3,0.008,5.25,135.0,19.8,3.1125448028673834,3.0320197044334978,3.105016408813877,3.821052631578948,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Tencel™ Lyocell is soft, durable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced eucalyptus wood pulp.","Tencel™ Lyocell is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced eucalyptus wood pulp. It's closed-loop manufacturing process uses a non-toxic organic compound called NMNO, and is more eco-friendly than Viscose, Rayon, and Modal. ","The creation of eucalyptus pulpwood plantations for new material often requires destructive deforestation, even if plantations are sustainably managed.",,"Tencel™ Lyocell is best washed by hand in cold water, though some garments can be washed in a gentle cycle. Tumble dry on low or hang dry to avoid excess shrinkage and maintain garment integrity.  
","Tencel™ Lyocell is strong and wrinkle-resistant. Handwashing is best, though some garments can be washed in a gentle cycle with cold water. Tumble dry on low or hang dry to avoid excess shrinkage and maintain garment integrity.  
","Unlike conventional viscose and rayon, Tencel™ Lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide). Tencel™ Lyocell differs from conventional lodal by using sustainably sourced and fully traceable raw materials.

","Tencel™ Lyocell manufacturing is significantly less resource-intensive than traditional viscose or rayon production. Unlike viscose and rayon, Tencel™ lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide).  Tencel™ Lyocell differs from conventional lodal by using sustainably sourced and fully traceable raw materials.
"
tex_moda_17,Textiles,Modal fabric,Modal,MD,18.4,12.9,4.0,15.5,9.4,60.2,19.5,0.012,8.71,226.0,19.8,1.0,1.9113300492610839,2.3595874355368025,1.6315789473684212,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Modal is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from renewable beech wood pulp.",,"The production process of Modal involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ","The production process of Modal involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. The creation of pulpwood plantations often requires deforestation, a practice that has devastating social and environmental impacts.","Modal is best washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Modal is fairly durable and can be washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our modal products are sourced from responsible supply chains. 
","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our modal products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Modal rom responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. "
tex_tenc_18,Textiles,Tencel™ Modal {Lenzing}Tencel,Tencel™ Modal,,8.28,7.15,2.22,8.24,9.4,35.29,8.78,0.006999999999999999,4.85,120.0,19.8,3.463799283154122,3.327586206896552,3.1940928270042197,4.178947368421054,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Tencel™ Modal is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced beech wood pulp.",,"The creation of beech pulpwood plantations for new material often requires destructive deforestation, even if plantations are sustainably managed.",,"Tencel™ Modal is best washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Tencel™ Modal is fairly durable and can be washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Tencel™ Modal manufacturing is significantly less resource-intensive than traditional modal, viscose or rayon production. Unlike its predecessors, Tencel™ Modal is manufactured in a 99% closed-loop process that relies on renewable energy sources. Tencel™ Modal differs from conventional lyocell by using sustainably sourced and fully traceable raw materials. ","Tencel™ Modal manufacturing is significantly less resource-intensive than traditional modal, viscose or rayon production. Unlike its predecessors, Tencel™ Modal is manufactured in a 99% closed-loop process that relies on renewable energy sources.  Tencel™ Modal differs from conventional lyocell by using sustainably sourced and fully traceable raw materials. "
tex_liva_19,Textiles,Livaeco™ Modal Fibre {BIRLA},Livaeco™ Modal,,10.5,9.33,2.57,10.3,9.4,42.1,11.2,0.009000000000000001,5.61,151.0,19.8,2.906810035842294,2.79064039408867,3.0300046882325367,3.4561403508771926,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Livaeco™ Modal is soft, breathable, and durable. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced beech and eucalyptus wood pulp.",,"The production process of Livaeco™ Modal involves chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ",,"Livaeco™ Modal is can be washed in a gentle cycle with cold or warm water. Livaeco™ Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Livaeco™ Modal is durable and can be washed in a gentle cycle with cold or warm water. Livaeco™ Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Livaeco™ Modal is sourced from sustainably managed beech and eucalyptus wood forests. All of its raw material components are fully traceable. 

","Livaeco™ Modal is sourced from sustainably managed beech and eucalyptus wood forests. All of its raw material components are fully traceable. 

Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our modal products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Modal from responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. "
tex_nylo_20,Textiles,Nylon fabric,Polyamide/Nylon,PA,15.3,4.67,0.937,18.3,9.29,48.49,16.2,0.004,2.04,268.0,19.6,1.702508960573477,3.9384236453201966,3.7955930614158464,1.0,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,Nylon has excellent durability and elasticity. It's more lightweight and durable than polyester and acrylic.,,"Nylon is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One nylon garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,Nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,"When washed and worn, nylon sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","Nylon is a synthetic petroleum-based material derived from plastic. When washed and worn, nylon sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some nylon garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since nylon is non-biodegradable, recycling plastic into nylon fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. "
tex_nylo_21,Textiles,"Nylon fabric, recycled","Recycled Polyamide/Nylon, Upcycled Polyamide/Nylon, Post-consumer Polyamide/Nylon, deadstock Polyamide/Nylon",,8.38,2.75,1.15,9.68,10.4,32.36,7.51,0.003,2.38,102.0,17.2,3.438709677419354,4.4113300492610845,3.695733708391936,3.673684210526316,Synthetic Plastic Derivative,Polymer Plastic (Post-Consumer or Post-Industrial Waste),Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Recycled has excellent durabaility and elasticity, and uses less nonrenewable resources than virgin nylon. Recycled nylon keeps textile waste out of landfills and supports the circular economy.","Recycled nylon has excellent durability, stretch, and elasticity. It's more lightweight and durable than polyester and acrylic. Recycled nylon uses less nonrenewable resources than virgin nylon. Recycled nylon keeps textile waste out of landfills and supports the circular economy.","Recycled nylon is still a non-biodegradable synthetic polymer plastic. One recycled nylon garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Recycled nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,Recycled nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,"Recycled nylon garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since nylon is non-biodegradable, recycling plastic into nylon fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ","Recycled nylon is a synthetic petroleum-based material derived from plastic. When washed and worn, nylon sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Recycled nylon garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since nylon is non-biodegradable, recycling plastic into nylon fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. "
tex_nylo_22,Textiles,"Nylon 4.10, bio-based, for textile production",Bio-based Nylon,,14.9,43.2,68.4,15.2,9.29,150.99,15.8,0.040999999999999995,149.0,221.0,19.6,1.8028673835125448,1.0,1.0,1.7368421052631584,Plant Based,Castor Beans (Oil),Synthetic,Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Bio-based nylon has excellent durability, stretch, and elasticity. It's more lightweight and durable than polyester and acrylic.",,"Bio-based nylon is derived from a renewable resource, but it's still a non-biodegradable synthetic polymer that contributes to microplastic pollution. ","Bio-based nylon is a non-biodegradable synthetic polymer plastic that's primarily derived from castor oil. One bio-based nylon garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",Bio-based nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Hang dry to conserve energy and preserve fabric integrity.,Bio-based nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric integrity.,,"Bio-based nylon is derived from castor oil instead of fossil fuels, which means it relies on a renewable resource. However, bio-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. "
tex_ultr_23,Textiles,Ultramid B {BASF},Ultramid®,,11.2,3.41,0.835,14.8,9.29,39.535,11.9,0.003,1.82,216.0,19.6,2.7311827956989245,4.248768472906404,3.843413033286451,1.8771929824561404,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,Ultramid® has excellent durability and elasticity. It's more lightweight and durable than polyester and acrylic.,,"Ultramid® is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One Ultramid® garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Ultramid® is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,Ultramid® doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,"When washed and worn, Ultramid® sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","Ultramid® is a synthetic petroleum-based material derived from plastic. When washed and worn, Ultramid® sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

"
tex_nylo_24,Textiles,"Nylon 6.6, Amni Soul Eco (Solvay Group, Brazil - contains data for yarn formation/spinning)",Amni Soul Eco®,,16.6,8.43,2.69,18.5,9.29,55.51,17.6,0.008,5.86,270.0,19.6,1.3763440860215057,3.0123152709359617,2.9737458977965305,1.0,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Biodegradable,Microplastic Pollutant,"Amni Soul Eco® nylon has excellent durability, stretch, and elasticity. Unlike conventional nylon, Amni Soul Eco® nylon can fully biodegrade. ",,"Although Amni Soul Eco® nylon can biodegrade, it's production is more resource-intensive than conventional nylon.  ",,Amni Soul Eco® nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Hang dry to conserve energy and preserve fabric integrity.,Amni Soul Eco® nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Hang dry to conserve energy and preserve fabric strength.,"Amni Soul Eco® nylon is a synthetic petroleum-based material derived from plastic. Its proprietary composition allows bacteria to convert its waste material to biomass and biogas within five years in a landfill. 
","Amni Soul Eco® nylon is a synthetic petroleum-based material derived from plastic. Its proprietary composition allows bacteria to convert its waste material to biomass and biogas within five years in a landfill. 
"
tex_poly_25,Textiles,Polyester fabric,Polyester,PL/PES,9.66,3.29,1.32,12.6,9.29,36.2,10.2,0.003,2.88,184.0,19.6,3.1175627240143373,4.27832512315271,3.6160337552742616,2.649122807017544,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polyester has excellent durability and elasticity. It's wrinkle-resistant, moisture-wicking, and more durable than acrylic.",,"Polyester is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One polyester garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,"Polyester is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Polyester is sensitive to high heat, so hang dry to conserve energy and preserve fabric strength.","Polyester is easy to clean and quick-drying, but it's sensitive to high heat. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.","When washed and worn, polyester sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","Polyester is a synthetic petroleum-based material derived from plastic. When washed and worn, polyester sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some polyester garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyester is non-biodegradable, recycling plastics into polyester fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. "
tex_lycr_26,Textiles,LYCRA T400 EcoMade Fiber {The LYCRA Company},LYCRA® T400 EcoMade Fiber,,13.0,4.86,1.6,15.2,10.4,45.06,13.8,0.005,3.49,222.0,22.0,2.2795698924731194,3.8916256157635463,3.4847632442569147,1.7368421052631584,Synthetic Plastic Derivative,Polymer Plastic & Plant Based,Synthetic,Semi-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"LYCRA® T400 EcoMade fiber has excellent durability and breathability, and offers superior stretch recovery to conventional polyester. 
",,"LYCRA® T400 EcoMade fiber is a non-biodegradable synthetic polymer that's derived from a mix of bio-based and fossil-fuel based plastics. One LYCRA® T400 EcoMade fiber garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,LYCRA® T400 EcoMade fiber is best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low or hang dry to conserve energy and preserve fabric strength.,LYCRA® T400 EcoMade fiber is easy to clean and quick-drying. It's best washed in a normal cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low or hang dry to conserve energy and preserve fabric strength.,"LYCRA® T400 EcoMade fiber is a synthetic fiber made from a blend of virgin plant-based materials, virgin PPT, and recycled PET. 

When washed and worn, LYCRA® T400 sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","LYCRA® T400 EcoMade fiber is a synthetic fiber made from a blend of virgin plant-based materials, virgin PPT, and recycled PET. When washed and worn, LYCRA® T400 sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

"
