material_id,type,backend_higg,frontend_higg,internal_abreviations,globalwarming,eutrophication,waterscarcity,abioticresourcedepletion,chemistry,overall_msi,co2e_kg,phosphate_po4eq,water_volume_m3,fossil_fuel_mj,chemistry_units
woo_card_103,Wood-based materials,Cardboard,,,1.29,1,0.12,1.18,0.948,4.55,1.36,0.0009587,0.281,17.3,2
woo_card_104,Wood-based materials,"Cardboard, recycled",,,0.799,0.584,0.115,0.725,1.9,4.123,0.847,0.0005573,0.25,10.6,4
woo_cork_105,Wood-based materials,Cork,,,0.555,0.466,0.028,0.496,1.95,3.49,0.589,0.0004445,0.06,7.24,4.11
woo_pape_106,Wood-based materials,Paper,,,0.605,0.295,0.081,0.546,0.948,2.48,0.641,0.0002815,0.177,7.98,2
woo_pape_107,Wood-based materials,"Paper, recycled",,,0.436,0.555,0.07,0.36,0.948,2.37,0.462,0.0005295,0.153,5.26,2
woo_wood_108,Wood-based materials,Wood,,,1.08,0.6,0.14,0.91,3.89,6.62,1.15,0.0005724,0.307,13.3,8.21
ins_shee_115,Insulation material,Sheep Wool insulation,,,32.8,12,0.82,3.59,1.93,51.1,34.8,0.011,1.79,52.3,4.07
ins_shee_116,Insulation material,"Sheep Wool insulation, recycled",,,4.41,6.38,1.08,4.16,1.93,17.96,3.43,0.003,1.84,47,4.07
foa_ethy_117,Foam,Ethylene-vinyl acetate (EVA) foam,,,5.01,1.49,0.66,7.61,5.96,20.7,5.31,0.00149,1.44,111,12.6
"foa_0,et_118",Foam,"0,Ethylene-vinyl acetate (EVA) foam, recycled",,,2.54,0.893,0.326,2,4.94,10.7,2.69,0.0008517,0.711,29.2,10.4
foa_poly_119,Foam,Polyethylene (PE) foam,,,5.12,1.36,0.328,7.21,5.96,20,5.43,0.00136,0.716,105,12.6
foa_poly_120,Foam,Polyurethane (PU) foam,,,4.82,1.07,0.194,7.79,4.96,18.8,5.11,0.00107,0.424,114,12.6
foa_typi_121,Foam,Typical EVA shoe compound,,,4.78,1.4,0.552,7.26,5.96,19.9,5.07,0.0014,1.2,106,12.6
syn_poly_122,Leather,Polyurethane (PU) synthetic leather,Synthetic leather,,7.76,1.76,0.424,11.4,8.53,29.874,8.23,0.002,0.923,167,18
mis_glas_123,Miscellaneous,Glass fiber fabric,,GL/GF,4.34,1.56,0.403,3.81,2.92,13,4.6,0.00100,0.879,55.7,6.17
cer_flax_124,Certification,"Flax Fiber {Bast Fiber Tech}, Belgium",,,11.6,9.28,7.14,9.96,11.1,49.08,12.3,0.00900,15.6,145,23.5
mis_poly_125,Miscellaneous,"Polyethylene terephthalate (PET) {Toray}, partially bio-based",,,10.2,7.75,1.13,12.3,10.4,41.78,10.9,0.00700,2.47,180,22
