Material Name,fiber_type,fiber_source,is_natural,is_renewable,is_recyclable,is_biodegradable,is_microplastic_pollutant,pro_tips,pro_read_more,con_tips,con_read_more,washing_tips,washing_read_more,fact_tips,fact_read_more,Sources
Cotton fabric,Plant Based,Cotton Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Cotton is a soft, breathable, durable material that's biodegradable and renewable. In many regions, farmers can irrigate cotton with natural rainfall.",,"Cotton is the most pesticide-intensive crop in the world, and synthetic cotton dyes often pollute water streams when not managed sustainably.","Cotton is the most pesticide-intensive crop in the world, and synthetic cotton dyes often pollute water streams when not managed sustainably. Price can be volatile and is affected by the weather.","Cotton is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Tumble dry on low to prevent shrinkage, or hang dry to conserve energy and prevent wrinkles.",,"Cotton production is rooted in colonialism and slavery, and is foundational to America’s long history of racial oppression and labor exploitation. Many fashion companies continue to exploit cotton farmers and garment workers to this day, failing to ensure ethical supply chain practices.","Cotton production is rooted in colonialism and slavery, and is foundational to America’s long history of racial oppression and labor exploitation. The colonial effects of the cotton trade can still be seen throughout the world, especially in countries like India, Brazil, and Pakistan. Many fashion companies continue to exploit cotton farmers and garment workers to this day, and fail to ensure ethical supply chain practices.",
"Cotton fiber, organic",Plant Based,Cotton Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Organic cotton is a soft, breathable, durable material that's biodegradable and renewable. Organic cotton uses zero pesticides, fungicides, GMO seeds, or synthetic fertilizers.",,"Organic cotton yeilds can be significantly smaller than conventional cotton, which often increases its land use. ",,"Organic Cotton is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Tumble dry on low to prevent shrinkage, or hang dry to conserve energy and prevent wrinkles.",,"Organic cotton is better for the planet, and for the farmers who grow it. Growing cotton without the use of pesticides, synthetic fertilizers or GMO seeds leads to healthier soil, reduced water consumption, and healthier ecosystems. ",,
"Cotton fiber, recycled",Plant Based,Cotton Plant (Post-Consumer or Post-Industrial Waste),Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Recycled cotton is a soft, absorbant, durable material that's biodegradable and renewable. It's significantly less harmful to the environment than virgin cotton, and keeps textile waste out of landfills.   ",,Recycled cotton can be slightly more coarse than virgin cotton and is more prone to wrinking.,,"Recycled Cotton is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Tumble dry on low to prevent shrinkage, or hang dry to conserve energy and prevent wrinkles.",,"Cotton recycling conserves valuable resources and reduces waste. Choosing recycled cotton over virgin cotton saves significant amounts of water, energy, and greenhouse gas emissions, and moves us closer to a circular economy.",,
Cow leather,Animal Based,Cow,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Cow Leather is a durable, luxurious, water-resistant material made from cattle hide. Cow Leather is biodegradable and derived from a renewable resource.",,"Livestock accounts for 15% of our total carbon emissions, and is a significant contributor to global warming. ",,"Leather, suede, and other animal hides have various finishes that have individualized needs. Leather should be handled with the utmost care. Follow the washing label strictly. Do not wash your leather garment if the label says spot clean only.",,"Leather has been used as warm, protective clothing since prehistoric times. Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. ","Leather has been used as warm, protective clothing since prehistoric times. Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. 

Leather is treated through a tanning process that prevents rot and can be dyed in many colors. Leather is moisture dependant, so it needs cleaning, conditioning and protection to ensure lasting beauty and durability.  Mineral (chrome) leather tanning and synthetic dyes can be extremely toxic to aquatic ecosystems, so make sure your leather goods are vegetable-tanned or sustainably managed. ","https://goodonyou.eco/the-hidden-costs-of-leather/ 

https://www.thecut.com/2019/03/is-wearing-real-leather-or-faux-leather-sustainable.html 

https://www.thelaundress.com/how-to/leather.html

"
Elastane/Spandex/Lycra fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Spandex is known for it's elasticity. It's a synthetic fiber commonly used for leggings, athletic wear, undergarments, and any other material that requires a perfect fit and stretch. ",,"Spandex is petroleum-based and non-biodegradable. It has a short shelf-life, which means you may need to repurchase swimsuits, leggings, and other spandex garments more frequently","Spandex is petroleum-based, and is made up of long chain polymer plastics called polyurethane. It requires a lot of energy to produce and is not biodegradable. Spandex does not have a long shelf life, which means you may need to repurchase swimsuits, leggings, and other spandex garments more frequently.","Spandex swimwear and undergarments should be hand washed in cold water to preserve garment integrity. Athletic wear and jeans can be turned inside out and washed in a gentle cycle with cold water. Spandex degrades faster with high heat, so hang dry to maintain elasticity and garment shape. ",,"When washed and abraded, Spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. ","Spandex is usually blended with other materials, and since it can't be separated easily after blending, it's not widely recyclable. Spandex has a relatively short shelf-life, and will often lose its elasticity before the fibers its blended with lose their functionality. The best way to extend the life of spandex garments is to protect them from high heat; that mean's no tumble drying. 

Since spandex is a plastic derivative, it does contribute to microplastic water pollution when washed. When washed and abraded, spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. ",
Elastane/Spandex {Hyosung} Creora® bio-based ,Plant Based,Corn Plant,Synthetic,Renewable,Recyclable,Not Biodegradable (Industrial Facilities Only),Microplastic Pollutant,"Spandex is known for it's elasticity. It's a synthetic fiber commonly used for leggings, athletic wear, undergarments, and any other material that requires a perfect fit and stretch. ",,"Spandex does not have a long shelf life, which means you may need to repurchase swimsuits, leggings, and other spandex garments more frequently.",,"Spandex swimwear and undergarments should be hand washed in cold water to preserve garment integrity. Athletic wear and jeans can be turned inside out and washed in a gentle cycle with cold water. Spandex degrades faster with high heat, so hang dry to maintain elasticity and garment shape. ",,"Creora® bio-based Spandex is derived from corn instead of fossil fuels, which means it relies on a renewable resource. However, corn-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. ","Creora® bio-based Spandex is derived from corn instead of fossil fuels, which means it relies on a renewable resource. However, corn-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. 

Spandex is usually blended with other materials, and since it can't be separated easily after blending, it's not widely recyclable. Spandex has a relatively short shelf-life, and will often lose its elasticity before the fibers its blended with lose their functionality. The best way to extend the life of spandex garments is to protect them from high heat; that mean's no tumble drying.

When washed and abraded, spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. ","https://www.thelaundress.com/how-to/spandex.html 

http://www.creora.com/en/index.do 

"
Flax fiber fabric,Plant Based,Flax Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Linen is a lightweight, breathable, absorbant material that's biodegradable and renewable. It's a resilient crop that can grow in poor soil, and consumes less water than other natural fibers like cotton.","Linen is a lightweight, breathable, absorbant material that's biodegradable and renewable. During the manufacturing process, the entire flax plant is used. It's a resilient crop that can grow in poor soil, and consumes less water than other natural fibers like cotton.",Linen is processed to fiber through water retting-- a process that can pollute local waterways if not managed sustainably.,,"Linen is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Linen wrinkles easily, so tumble dry on low or hang dry to erase wrinkles and save energy.",,"Linen is one of the world's oldest fabrics. Linen shrouds have been found dating as far back as 4500 B.C. Linen production is more labor-intensive than cotton production, so linen garments are usually more expensive. Purchasing second-hand linen is a great way to stay on budget while elongating garment life.",,
Freeflex™ TPU Resin {BASF} for textile,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Freeflex™ TPU is lightweight, durable, and incredibly elastic. When blended with other fibers it provides better stretch and recovery than conventional spandex. ",,"Freeflex™ TPU is a non-biodegradable synthetic polymer that's primarily derived from crude oil. One Freeflex™ TPU garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Freeflex™ TPU is best washed in a normal cycle with cold water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low or hang dry to conserve energy and preserve fabric strength.,Freeflex™ TPU is easy to clean and quick-drying. It's best washed in a normal cycle with cold water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low or hang dry to conserve energy and preserve fabric strength.,"Since Freeflex™ TPU is a plastic derivative, it does contribute to microplastic water pollution when washed. When washed and abraded, spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. ","Freeflex™ TPU is recyclable when blended with polyester, but is not widely recyclable when blended with most other materials due to limitations in fiber separation. 

Since Freeflex™ TPU is a plastic derivative, it does contribute to microplastic water pollution when washed. When washed and abraded, spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. ",
Goat leather,Animal Based,Goat,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Goat Leather is a durable, supple, and lightweight material made from goat hide and skins. Goat Leather is biodegradable and derived from a renewable resource.",,"Livestock accounts for 15% of our total carbon emissions, and is a significant contributor to global warming. ","Although Goat Leather is a renewable resource, animal welfare is always a concern. Livestock accounts for 15% of our total carbon emissions, and is a significant contributor to global warming. ","Leather, suede, and other animal hides have various finishes that have individualized needs. Leather should be handled with the utmost care. Follow the washing label strictly. Do not wash your leather garment if the label says spot clean only.",,"Leather has been used as warm, protective clothing since prehistoric times. Goat Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. ","Leather has been used as warm, protective clothing since prehistoric times. Goat Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. 

Leather is treated through a tanning process that prevents rot and can be dyed in many colors. Leather is moisture dependant, so it needs cleaning, conditioning and protection to ensure lasting beauty and durability.  Mineral (chrome) leather tanning and synthetic dyes can be extremely toxic to aquatic ecosystems, so make sure your leather goods are vegetable-tanned or sustainably managed. ","https://www.thelaundress.com/how-to/leather.html 

https://highonleather.com/blogs/all-about-leather-bags/questions-goat-leather-answered 

https://blog.thejacketmaker.com/what-is-goat-leather/ "
Hemp fiber fabric,Plant Based,Hemp / Sativa Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Hemp is comprarable to linen in terms of texture and feel. It's a durable, absorbent, UV resistant material that's biodegradable and renewable.","Hemp is a biodegradable natural fiber made from the stalks of the Sativa plant. It 's comprarable to linen in terms of texture and feel, and is a durable, absorbent, UV resistant material that's biodegradable and renewable.","Hemp is prone to wrinkling, and can feel a little rough if not properly treated.","Hemp is prone to wrinkling, and can feel a little rough if not properly treated. Hemp clothing is natural, and because of that, it won't carry the color richness that some synthetic materials can.","Hemp is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Hemp is naturally antimicrobial, which means it doesn't need to be washed as frequently as other natural fibers. Spot cleaning between washings can vastly reduce water and energy consumption while extending the life of hemp garments. When in need of a good cleaning, it's best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Hemp plants are highly resistant to fungi and diseases, so farmers don't need to rely on chemicals and pesticides to protect crops from pests. Hemp grows very quickly, contributes to soil health, and can yield up to four times the volume of flax per-acre. ","Hemp plants are highly resistant to fungi and diseases, so farmers don't need to use chemicals and pesticides to protect crops from pests. Hemp grows very quickly, contributes to soil health, and can yield up to four times the volume of flax per-acre. Hemp used for fabric production does not produce the same levels of THC found in cannabis flowers, and is not used for recreational or medicinal purposes. ",
Jute fiber fabric,Plant Based,Jute Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Jute is a durable, absorbant, UV resistant material that's biodegradable and renewable. It's most comparable to linen and hemp in terms of texture. ","Jute is a biodegradable natural fiber made from the outer stalks of the Jute plant. Jute is most closely comparable to linen and hemp in terms of texture and feel. It's very durable, absorbant, and UV resistant.",Jute is prone to wrinkling and can feel rough when compared to hemp and linen. ,"Jute is prone to wrinkling, and can feel rough when compared to hemp and linen. Due to its coarse texture, jute is usually reserved for burlap sacs, rope, home furnishings, and agricultural textiles. ","Jute is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ",,"Jute has been used for textiles since 3,000 B.C. Jute plants are highly resistant to fungi and diseases, so farmers don't need to rely on chemicals and pesticides to protect crops from pests. ","Jute has been used for textiles since 3,000 B.C. Jute plants are highly resistant to fungi and diseases, so farmers don't need to rely on chemicals and pesticides to protect crops from pests. Jute grows very quickly, contributes to soil health, and does not require irrigation. ",
Kangaroo leather,Animal Based,Kangaroo,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,Kangaroo Leather is a durable and lightweight material made from kangaroo hide and skins. Kangaroo leather is biodegradable and derived from a renewable resource.,,"Livestock accounts for 15% of our total carbon emissions, and is a significant contributor to global warming. ","Although Kangaroo Leather is a renewable resource, animal welfare is always a concern. Livestock accounts for 15% of our total carbon emissions, which is a significant contributor to our warming climate. ","Leather, suede, and other animal hides have various finishes that have individualized needs. Leather should be handled with the utmost care. Follow the washing label strictly. Do not wash your leather garment if the label says spot clean only.",,"Leather has been used as warm, protective clothing since prehistoric times. Kangaroo Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. ","Leather has been used as warm, protective clothing since prehistoric times. Kangaroo Leather is a byproduct of the meat industry, and is therefore not vegan-friendly. It varies in thickness, size, and texture, and its value changes depending on the quality of hide and how it's treated. 

Leather is treated through a tanning process that prevents rot and can be dyed in many colors. Leather is moisture dependant, so it needs cleaning, conditioning and protection to ensure lasting beauty and durability.  Mineral (chrome) leather tanning and synthetic dyes can be extremely toxic to aquatic ecosystems, so make sure your leather goods are vegetable-tanned or sustainably managed. ","https://www.thelaundress.com/how-to/leather.html  

https://en.wikipedia.org/wiki/Kangaroo_leather. 

https://stridewise.com/kangaroo-leather-pros-cons/ "
